"PRODUCT","BARCODE","FORMATT","MACHINEMAKE","MACHINEMODEL","CAFFEA","VARIETAL","ORIGIN","ROASTING","PROCESS","PACKAGING","RETAILPRICE","STOCK","MIN_STOCK","MAX_STOCK","COSTPRICE","PROVIDER","TAXID","SALESPERSON","EMAIL","PHONENUM","BANKACCOUNT","THOROUGHFARE","WAYNAME","GATENUMBER","BLOCKK","STAIRS","FLOORR","DOOR","ZIP","TOWN","COUNTRY",id_product
"Son antes","QII79718I227817","capsules","Kurt","Cougar","Arabica","Maragogype","Brasil","natural","normal","pkg 10 un.","1.86 E",2393,220,4080,"1.67 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",11
"Son antes","QII79718I227817","capsules","Kurt","Cougar","Arabica","Maragogype","Brasil","natural","normal","pkg 10 un.","1.86 E",2393,220,4080,"1.41 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",12
"Son antes","QQI47782I728991","ground","","","Arabica","Maragogype","Brasil","natural","normal","pkg 1 Kg.","96.18 E",300,30,1500,"84.63 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",13
"Son antes","QQI47782I728991","ground","","","Arabica","Maragogype","Brasil","natural","normal","pkg 1 Kg.","96.18 E",300,30,1500,"86.56 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",14
"Son antes","QQI47782I728991","ground","","","Arabica","Maragogype","Brasil","natural","normal","pkg 1 Kg.","96.18 E",300,30,1500,"73.09 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",15
"Son antes","IOI36746I421868","ground","","","Arabica","Maragogype","Brasil","natural","normal","pkg 200 g.","24.15 E",2533,270,4340,"21.25 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",16
"Son antes","IOI36746I421868","ground","","","Arabica","Maragogype","Brasil","natural","normal","pkg 200 g.","24.15 E",2533,270,4340,"21.73 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",17
"Son antes","IOI36746I421868","ground","","","Arabica","Maragogype","Brasil","natural","normal","pkg 200 g.","24.15 E",2533,270,4340,"18.35 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",18
"Son antes","OQQ50976Q123543","roasted bean","","","Arabica","Maragogype","Brasil","natural","normal","pkg 1 Kg.","36.03 E",2124,320,4050,"31.70 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",19
"Son antes","OQQ50976Q123543","roasted bean","","","Arabica","Maragogype","Brasil","natural","normal","pkg 1 Kg.","36.03 E",2124,320,4050,"32.42 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",20
"Son antes","OQQ50976Q123543","roasted bean","","","Arabica","Maragogype","Brasil","natural","normal","pkg 1 Kg.","36.03 E",2124,320,4050,"27.38 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",21
"Son antes","OQI67128I901745","roasted bean","","","Arabica","Maragogype","Brasil","natural","normal","pkg 200 g.","9.50 E",900,410,2420,"8.36 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",22
"Son antes","OQI67128I901745","roasted bean","","","Arabica","Maragogype","Brasil","natural","normal","pkg 200 g.","9.50 E",900,410,2420,"8.55 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",23
"Son antes","OQI67128I901745","roasted bean","","","Arabica","Maragogype","Brasil","natural","normal","pkg 200 g.","9.50 E",900,410,2420,"7.22 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",24
"Cafe de asado","QQO94288O870895","capsules","Feelipz","Goteing","Arabica","Typica","Peru","natural","normal","pkg 25 un.","6.00 E",439,320,3940,"5.40 E","Rosadio Inc.","R80774669A","M. Barbara Rosadio","rosadio@servcorreo.ucetreseme.kom",555227682,"OIO89668O77576739","Promenade","Violets","171",,,"29","A",75018,"Canchales del Torreon","Tokelau",25
"Cafe de asado","OOI36107I212636","capsules","Feelipz","Goteing","Arabica","Typica","Peru","natural","normal","pkg 10 un.","3.65 E",870,130,3970,"3.28 E","Rosadio Inc.","R80774669A","M. Barbara Rosadio","rosadio@servcorreo.ucetreseme.kom",555227682,"OIO89668O77576739","Promenade","Violets","171",,,"29","A",75018,"Canchales del Torreon","Tokelau",26
"Cabra o vendedor","QOI80316I136612","ground","","","Arabica","Ruiru 11","Kenia","blend","normal","pkg 200 g.","30.00 E",3485,150,4600,"26.10 E","Martinez Inc.","N20533589V","Raul Martinez","martinez@servcorreo.ucetreseme.kom",555055470,"OOQ90049O97709812","Street","Jardiel Poncela","144",,,"16","",97490,"Valtorres de las Tripas","Belize",27
"Cabra o vendedor","QOI80316I136612","ground","","","Arabica","Ruiru 11","Kenia","blend","normal","pkg 200 g.","30.00 E",3485,150,4600,"26.70 E","Peri S.A.U.","S90985031K","Amparo Torres Perez","peri@servcorreo.ucetreseme.kom",555745914,"OOQ86776Q23285619","Circus","Stretchers","129",,,"Second","B",12826,"Valnieves del Vertedero","Cuba",28
"Cabra o vendedor","QOI80316I136612","ground","","","Arabica","Ruiru 11","Kenia","blend","normal","pkg 200 g.","30.00 E",3485,150,4600,"26.40 E","Marisa Ortiz S.A.","F06842603B","Marisa Ortiz Fierro","marisa@servcorreo.ucetreseme.kom",555885935,"QOO78342O14061987","Roundabout","Silo","188",,,"21","G",56597,"Valsolana","South Africa",29
"Ojos y respirar","IQI11826Q601844","ground","","","Arabica","Villasarchi","Costa Rica","natural","decaf","pkg 2 Kg.","63.90 E",3727,90,4360,"57.51 E","alvi S.L.","N50556941C","Tomas alvarez","alvi@servcorreo.ucetreseme.kom",555556707,"IQO59092Q34272492","Avenue","Madonna Lily","60",,,"Sixth","",53794,"Villaseca","New Caledonia",30
"Ojos y respirar","IQI11826Q601844","ground","","","Arabica","Villasarchi","Costa Rica","natural","decaf","pkg 2 Kg.","63.90 E",3727,90,4360,"55.59 E","Marito S.U.","Q17492469A","Mariano Garcia Garcia-Cubo","marito@servcorreo.ucetreseme.kom",555017490,"QIO36677O40691520","Circus","Virgin of Pillar ","106",,,"","A",71040,"Valtripas de la Torre","Madagascar",31
"Ojos y respirar","IOI17366Q936124","ground","","","Arabica","Villasarchi","Costa Rica","natural","decaf","pkg 200 g.","9.30 E",2135,260,2590,"8.37 E","alvi S.L.","N50556941C","Tomas alvarez","alvi@servcorreo.ucetreseme.kom",555556707,"IQO59092Q34272492","Avenue","Madonna Lily","60",,,"Sixth","",53794,"Villaseca","New Caledonia",32
"Ojos y respirar","IOI17366Q936124","ground","","","Arabica","Villasarchi","Costa Rica","natural","decaf","pkg 200 g.","9.30 E",2135,260,2590,"8.09 E","Marito S.U.","Q17492469A","Mariano Garcia Garcia-Cubo","marito@servcorreo.ucetreseme.kom",555017490,"QIO36677O40691520","Circus","Virgin of Pillar ","106",,,"","A",71040,"Valtripas de la Torre","Madagascar",33
"Iris de voces","III68610I566023","capsules","Kurt","Ounce","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 25 un.","10.80 E",1013,40,1970,"9.39 E","Luis Lema S.A.","Q99504413L","Luis Mariano Lema Sanz","luis@servcorreo.ucetreseme.kom",555442302,"QOO02422Q62363852","Street","Chesterton","154",,,"","4",78770,"Sototopos de la Torre","Singapore",34
"Iris de voces","III68610I566023","capsules","Kurt","Ounce","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 25 un.","10.80 E",1013,40,1970,"8.64 E","Ancas S.A.","V80595366P","Mario Cesar Ancas","ancas@servcorreo.ucetreseme.kom",555318451,"OOQ42108O28248364","Street","San Cucufato","130",,,"Third","",66926,"Villavacas","Kazakhstan",35
"Iris de voces","OIO70361Q923062","capsules","Kurt","Ounce","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 10 un.","5.30 E",1160,290,3230,"4.61 E","Luis Lema S.A.","Q99504413L","Luis Mariano Lema Sanz","luis@servcorreo.ucetreseme.kom",555442302,"QOO02422Q62363852","Street","Chesterton","154",,,"","4",78770,"Sototopos de la Torre","Singapore",36
"Iris de voces","OIO70361Q923062","capsules","Kurt","Ounce","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 10 un.","5.30 E",1160,290,3230,"4.24 E","Ancas S.A.","V80595366P","Mario Cesar Ancas","ancas@servcorreo.ucetreseme.kom",555318451,"OOQ42108O28248364","Street","San Cucufato","130",,,"Third","",66926,"Villavacas","Kazakhstan",37
"Iris de voces","IOI80099O676008","ground","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 1 Kg.","117.46 E",237,150,4200,"102.19 E","Luis Lema S.A.","Q99504413L","Luis Mariano Lema Sanz","luis@servcorreo.ucetreseme.kom",555442302,"QOO02422Q62363852","Street","Chesterton","154",,,"","4",78770,"Sototopos de la Torre","Singapore",38
"Iris de voces","IOI80099O676008","ground","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 1 Kg.","117.46 E",237,150,4200,"93.96 E","Ancas S.A.","V80595366P","Mario Cesar Ancas","ancas@servcorreo.ucetreseme.kom",555318451,"OOQ42108O28248364","Street","San Cucufato","130",,,"Third","",66926,"Villavacas","Kazakhstan",39
"Iris de voces","OOO79222Q653480","ground","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 200 g.","39.35 E",4047,310,4670,"34.23 E","Luis Lema S.A.","Q99504413L","Luis Mariano Lema Sanz","luis@servcorreo.ucetreseme.kom",555442302,"QOO02422Q62363852","Street","Chesterton","154",,,"","4",78770,"Sototopos de la Torre","Singapore",40
"Iris de voces","OOO79222Q653480","ground","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 200 g.","39.35 E",4047,310,4670,"31.48 E","Ancas S.A.","V80595366P","Mario Cesar Ancas","ancas@servcorreo.ucetreseme.kom",555318451,"OOQ42108O28248364","Street","San Cucufato","130",,,"Third","",66926,"Villavacas","Kazakhstan",41
"Iris de voces","OQQ69664I671865","roasted bean","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 1 Kg.","75.22 E",3251,290,3920,"65.44 E","Luis Lema S.A.","Q99504413L","Luis Mariano Lema Sanz","luis@servcorreo.ucetreseme.kom",555442302,"QOO02422Q62363852","Street","Chesterton","154",,,"","4",78770,"Sototopos de la Torre","Singapore",42
"Iris de voces","OQQ69664I671865","roasted bean","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 1 Kg.","75.22 E",3251,290,3920,"60.17 E","Ancas S.A.","V80595366P","Mario Cesar Ancas","ancas@servcorreo.ucetreseme.kom",555318451,"OOQ42108O28248364","Street","San Cucufato","130",,,"Third","",66926,"Villavacas","Kazakhstan",43
"Iris de voces","III20501Q336035","roasted bean","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 200 g.","25.20 E",484,440,670,"21.92 E","Luis Lema S.A.","Q99504413L","Luis Mariano Lema Sanz","luis@servcorreo.ucetreseme.kom",555442302,"QOO02422Q62363852","Street","Chesterton","154",,,"","4",78770,"Sototopos de la Torre","Singapore",44
"Iris de voces","III20501Q336035","roasted bean","","","Arabica","Sidikalang","Indonesia","natural","decaf","pkg 200 g.","25.20 E",484,440,670,"20.16 E","Ancas S.A.","V80595366P","Mario Cesar Ancas","ancas@servcorreo.ucetreseme.kom",555318451,"OOQ42108O28248364","Street","San Cucufato","130",,,"Third","",66926,"Villavacas","Kazakhstan",45
"Hombre o jacintos","QIQ83289Q336990","capsules","Kurt","Cougar","Arabica","Bergendal","Indonesia","natural","normal","pkg 500 g.","4.10 E",2976,40,3190,"3.69 E","Diana Loyola S.U.","K67350318Q","Diana Torres Loyola","diana@servcorreo.ucetreseme.kom",555382218,"QQI77962Q25505506","Avenue","Almond Tree","35",,,"13","G",75612,"Valmelones de las Caballerizas","Cook Islands",46
"Hombre o jacintos","QIQ83289Q336990","capsules","Kurt","Cougar","Arabica","Bergendal","Indonesia","natural","normal","pkg 500 g.","4.10 E",2976,40,3190,"3.60 E","Igni S.A.U.","S49815649H","Ignacio Carlos Flores","igni@servcorreo.ucetreseme.kom",555877655,"IQI74744Q83878622","Slope","Virgin of Sagrario ","82",,,"9","",14167,"Tabanera del Rio","Ireland",47
"Hombre o jacintos","QIQ83289Q336990","capsules","Kurt","Cougar","Arabica","Bergendal","Indonesia","natural","normal","pkg 500 g.","4.10 E",2976,40,3190,"3.07 E","Servanda S.L.","F10818079Y","Francisca Servanda Panez-Colombier","servanda@servcorreo.ucetreseme.kom",555934041,"QOQ73029I58935588","Slope","Cotton","91",,,"31","",17716,"Villasequillo","Honduras",48
"Hombre o jacintos","OOI60213I294380","capsules","Kurt","Cougar","Arabica","Bergendal","Indonesia","natural","normal","pkg 10 un.","2.75 E",583,280,4070,"2.47 E","Diana Loyola S.U.","K67350318Q","Diana Torres Loyola","diana@servcorreo.ucetreseme.kom",555382218,"QQI77962Q25505506","Avenue","Almond Tree","35",,,"13","G",75612,"Valmelones de las Caballerizas","Cook Islands",49
"Cafe de asado","OIQ53790O440017","ground","","","Arabica","Typica","Peru","natural","normal","pkg 1 Kg.","9.45 E",2206,180,3310,"8.50 E","Rosadio Inc.","R80774669A","M. Barbara Rosadio","rosadio@servcorreo.ucetreseme.kom",555227682,"OIO89668O77576739","Promenade","Violets","171",,,"29","A",75018,"Canchales del Torreon","Tokelau",50
"Cafe de asado","QOO31389Q580238","ground","","","Arabica","Typica","Peru","natural","normal","pkg 200 g.","3.21 E",1095,180,1990,"2.88 E","Rosadio Inc.","R80774669A","M. Barbara Rosadio","rosadio@servcorreo.ucetreseme.kom",555227682,"OIO89668O77576739","Promenade","Violets","171",,,"29","A",75018,"Canchales del Torreon","Tokelau",51
"Cafe de asado","QQO32042Q211865","roasted bean","","","Arabica","Typica","Peru","natural","normal","pkg 2 Kg.","7.65 E",922,10,1610,"6.88 E","Rosadio Inc.","R80774669A","M. Barbara Rosadio","rosadio@servcorreo.ucetreseme.kom",555227682,"OIO89668O77576739","Promenade","Violets","171",,,"29","A",75018,"Canchales del Torreon","Tokelau",52
"Cafe de asado","QQI52347O914315","roasted bean","","","Arabica","Typica","Peru","natural","normal","pkg 200 g.","1.65 E",2972,60,4380,"1.48 E","Rosadio Inc.","R80774669A","M. Barbara Rosadio","rosadio@servcorreo.ucetreseme.kom",555227682,"OIO89668O77576739","Promenade","Violets","171",,,"29","A",75018,"Canchales del Torreon","Tokelau",53
"Igual de mercurio","QOQ91297Q785126","prepared","","","Arabica","Bergendal","Indonesia","natural","normal","bottle 1 l.","2.75 E",2053,340,4470,"2.47 E","Iloni S.A.U.","D40518796H","Ilona Martinez","iloni@servcorreo.ucetreseme.kom",555214778,"IOQ86121I16452732","Street","Princesses","111",,,"","E",83813,"Villatripas","Burundi",54
"Igual de mercurio","QOQ91297Q785126","prepared","","","Arabica","Bergendal","Indonesia","natural","normal","bottle 1 l.","2.75 E",2053,340,4470,"2.47 E","Apostol Corp.","B45066843E","Jael Lopez Carlin","apostol@servcorreo.ucetreseme.kom",555281446,"OII54306Q27987799","Street","San Crispulo","59",,,"4","D",73069,"Vallluvias","Philippines",55
"Igual de mercurio","QQQ43559I985888","prepared","","","Arabica","Bergendal","Indonesia","natural","normal","cup 200 ml.","0.35 E",942,170,3700,"0.31 E","Iloni S.A.U.","D40518796H","Ilona Martinez","iloni@servcorreo.ucetreseme.kom",555214778,"IOQ86121I16452732","Street","Princesses","111",,,"","E",83813,"Villatripas","Burundi",56
"Igual de mercurio","QQQ43559I985888","prepared","","","Arabica","Bergendal","Indonesia","natural","normal","cup 200 ml.","0.35 E",942,170,3700,"0.31 E","Apostol Corp.","B45066843E","Jael Lopez Carlin","apostol@servcorreo.ucetreseme.kom",555281446,"OII54306Q27987799","Street","San Crispulo","59",,,"4","D",73069,"Vallluvias","Philippines",57
"Hola","IOO76096O585916","ground","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 1 Kg.","96.75 E",2227,80,2460,"83.20 E","Lauri S.A.U.","C39714574Z","Laura Sanchez","lauri@servcorreo.ucetreseme.kom",555690013,"IQQ84910Q96735154","Circus","Quevedo","19",,,"10","",23246,"Ciudad del Secano","Cambodia",58
"Hola","IOO76096O585916","ground","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 1 Kg.","96.75 E",2227,80,2460,"87.07 E","Victor S.L.","E88374582A","Francisco Victor Lopez","victor@servcorreo.ucetreseme.kom",555006093,"IQI68788O92748741","Slope","Cathedral","189",,,"Ground","B",36440,"San Pedro del Jamon","Netherlands Antilles",59
"Hola","IOO76096O585916","ground","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 1 Kg.","96.75 E",2227,80,2460,"83.20 E","Badabun S.A.U.","F28409113L","Armando Caro Porta","badabun@servcorreo.ucetreseme.kom",555725600,"QIQ39936O95546911","Circus","Perez-Reverte","63",,,"31","",91573,"Eriales de los Viajeros","British Indian Ocean Territory",60
"Hola","QOQ36350O915857","ground","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 200 g.","32.10 E",1267,480,3690,"27.60 E","Lauri S.A.U.","C39714574Z","Laura Sanchez","lauri@servcorreo.ucetreseme.kom",555690013,"IQQ84910Q96735154","Circus","Quevedo","19",,,"10","",23246,"Ciudad del Secano","Cambodia",61
"Hola","QOQ36350O915857","ground","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 200 g.","32.10 E",1267,480,3690,"28.89 E","Victor S.L.","E88374582A","Francisco Victor Lopez","victor@servcorreo.ucetreseme.kom",555006093,"IQI68788O92748741","Slope","Cathedral","189",,,"Ground","B",36440,"San Pedro del Jamon","Netherlands Antilles",62
"Hola","QOQ36350O915857","ground","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 200 g.","32.10 E",1267,480,3690,"27.60 E","Badabun S.A.U.","F28409113L","Armando Caro Porta","badabun@servcorreo.ucetreseme.kom",555725600,"QIQ39936O95546911","Circus","Perez-Reverte","63",,,"31","",91573,"Eriales de los Viajeros","British Indian Ocean Territory",63
"Hola","OQO65486O964623","roasted bean","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 1 Kg.","128.80 E",1368,170,4350,"110.76 E","Lauri S.A.U.","C39714574Z","Laura Sanchez","lauri@servcorreo.ucetreseme.kom",555690013,"IQQ84910Q96735154","Circus","Quevedo","19",,,"10","",23246,"Ciudad del Secano","Cambodia",64
"Hola","OQO65486O964623","roasted bean","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 1 Kg.","128.80 E",1368,170,4350,"115.92 E","Victor S.L.","E88374582A","Francisco Victor Lopez","victor@servcorreo.ucetreseme.kom",555006093,"IQI68788O92748741","Slope","Cathedral","189",,,"Ground","B",36440,"San Pedro del Jamon","Netherlands Antilles",65
"Hola","OQO65486O964623","roasted bean","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 1 Kg.","128.80 E",1368,170,4350,"110.76 E","Badabun S.A.U.","F28409113L","Armando Caro Porta","badabun@servcorreo.ucetreseme.kom",555725600,"QIQ39936O95546911","Circus","Perez-Reverte","63",,,"31","",91573,"Eriales de los Viajeros","British Indian Ocean Territory",66
"Hola","OOO00651Q743502","roasted bean","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 200 g.","32.95 E",857,100,1550,"28.33 E","Lauri S.A.U.","C39714574Z","Laura Sanchez","lauri@servcorreo.ucetreseme.kom",555690013,"IQQ84910Q96735154","Circus","Quevedo","19",,,"10","",23246,"Ciudad del Secano","Cambodia",67
"Hola","OOO00651Q743502","roasted bean","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 200 g.","32.95 E",857,100,1550,"29.65 E","Victor S.L.","E88374582A","Francisco Victor Lopez","victor@servcorreo.ucetreseme.kom",555006093,"IQI68788O92748741","Slope","Cathedral","189",,,"Ground","B",36440,"San Pedro del Jamon","Netherlands Antilles",68
"Hola","OOO00651Q743502","roasted bean","","","Arabica","Bourbon Amarillo","El Salvador","natural","normal","pkg 200 g.","32.95 E",857,100,1550,"28.33 E","Badabun S.A.U.","F28409113L","Armando Caro Porta","badabun@servcorreo.ucetreseme.kom",555725600,"QIQ39936O95546911","Circus","Perez-Reverte","63",,,"31","",91573,"Eriales de los Viajeros","British Indian Ocean Territory",69
"Valle","QIQ78843O365786","ground","","","Arabica","Bugishu","Uganda","natural","normal","pkg 500 g.","20.40 E",1126,10,1980,"17.54 E","Pedri S.L.","J41251424G","Pedro Lopez","pedri@servcorreo.ucetreseme.kom",555731418,"OQI52487I46908440","Crossing","Meadow","25",,,"31","",89360,"Sotolluvias de las Golondrinas","Syrian Arab Republic",70
"Valle","QIQ78843O365786","ground","","","Arabica","Bugishu","Uganda","natural","normal","pkg 500 g.","20.40 E",1126,10,1980,"17.74 E","Felipe Luis S.A.","B95197707V","Felipe Luis Aguilera Ventocilla","felipe@servcorreo.ucetreseme.kom",555460780,"QIO94978I69236972","Street","Virgin of Araceli","167",,,"22","4",33928,"Sierra del Viento","Tajikistan",71
"Valle","QIQ78843O365786","ground","","","Arabica","Bugishu","Uganda","natural","normal","pkg 500 g.","20.40 E",1126,10,1980,"16.93 E","Anti Inc.","A37575316D","Antonia Camargo","anti@servcorreo.ucetreseme.kom",555262473,"IIO93091Q35547175","Road","Birchwood","5",,,"","",45970,"Villavacas de Abajo","Saint Vincent and the Grenadines",72
"Valle","IIO31115O888570","ground","","","Arabica","Bugishu","Uganda","natural","normal","pkg 200 g.","10.75 E",472,90,3870,"9.24 E","Pedri S.L.","J41251424G","Pedro Lopez","pedri@servcorreo.ucetreseme.kom",555731418,"OQI52487I46908440","Crossing","Meadow","25",,,"31","",89360,"Sotolluvias de las Golondrinas","Syrian Arab Republic",73
"Valle","IIO31115O888570","ground","","","Arabica","Bugishu","Uganda","natural","normal","pkg 200 g.","10.75 E",472,90,3870,"9.35 E","Felipe Luis S.A.","B95197707V","Felipe Luis Aguilera Ventocilla","felipe@servcorreo.ucetreseme.kom",555460780,"QIO94978I69236972","Street","Virgin of Araceli","167",,,"22","4",33928,"Sierra del Viento","Tajikistan",74
